id;keyword;type
1;circular economy;general
2;sustainability;general
3;recycling;general
4;sustainable development;general
5;industrial ecology;general
6;waste management;general
7;life-cycle assessment;general
8;Industrial symbiosis;general
9;resource efficiency;general
10;remanufactoring;general
11;reuse;general
12;waste;general
13;anaerobic digestion;general
14;biogas;general
15;eco-efficiency;general
16;bioeconomy;general
17;food waste;general
18;bioenergy;general
19;e-waste;general
20;resource recovery;general
21;rewable energy;general
22;weee;general
23;biorefinery;general
24;municipal solid waste;general
25;climate change;general
26;eco-industrial park;general
27;resource productivity;general
28;biomass;general
29;eco-innovation;general
30;material efficiency;general
31;sharing economy;general
32;zero waste;general
33;digestate;general
34;green economy;general
35;sustainable consumption;general
36;eco-design;general
37;end-of-life;general
38;environmental resource management;general
39;Extended producer responsibility;general
40;Material flow analysis;general
41;System dynamics;general
42;wastewater;general
43;cradle-to-cradle design;general
44;supply-chain management;general
45;waste minimisation;general
46;product-service system;general
47;urban metabolism;general
48;enviromental protection;general
49;Landfill mining;general
50;3D printing;general
51;biofuel;general
52;energy recovery;general
53;low-carbon economy;general
54;resource management;general
55;sewage sludge;general
56;sustainable products;general
57;biochar;general
58;biomethane;general
59;construction waste;general
60;business cluster;general
61;Life cycle thinking;general
62;plastic;general
63;wastewater treatment;general
64;aluminium;general
65;batteries;general
66;cement;general
67;collaborative economy;general
68;corporate social responsibility;general
69;ecological civilization;general
70;land use;general
71;metal;general
72;microalgae;general
73;reverse logistics;general
74;sludge;general
75;crop residue;general
76;biomimicry;general
77;compost;general
78;concrete;general
79;green chemistry;general
80;industrial waste;general
81;landfill;general
82;rare-earth element;general
83;refurbishment;general
84;renewable resource;general
85;waste-to-energy;general
86;biobased product;general
87;biodegradable waste;general
88;by-product;general
89;deconstruction;general
90;environmental economics;general
91;green logistics;general
92;lignocellulose;general
93;material flow accounting;general
94;regeneration;general
95;sustainable agriculture;general
96;biodiesel;general
97;eco-industrial development;general
98;ecological footprint;general
99;ecology;general
100;extended producer responsibility;general
101;organic waste;general
102;planned oblosolescence;general
103;bio-waste;general
104;nature-base solutions;general
105;post-consumer waste;general
106;life extension;general
107;waste sorting;general
108;social metabolism;general
109;upcycling;general
110;water reuse;general
111;adaptive reuse;general
112;bioplastic;general
113;Remanufacturing;general
114;Repurposing;general
115;hazardous waste;general
116;Sustainable transport;general
117;Waste-to-energy ;general
118;Weee directive;general
