id;keyword
1;circular economy
2;sustainability
3;recycling
4;sustainable development
5;industrial ecology
6;waste management
7;life cycle assessment
8;industrial symbiosis
9;resource efficiency
10;china
11;remanufacturing
12;reuse
13;waste
14;material flow analysis
15;anaerobic digestion
16;biogas
17;reverse logistics
18;eco-efficiency
19;lca
20;bioeconomy
21;food waste
22;bioenergy
23;e-waste
24;life cycle assessment (lca)
25;resource recovery
26;cleaner production
27;renewable energy
28;weee
29;biorefinery
30;business model
31;energy
32;innovation
33;municipal solid waste
34;business models
35;climate change
36;eco-industrial park
37;environment
38;product design
39;recovery
40;resource productivity
41;biomass
42;packaging
43;efficiency
44;pyrolysis
45;supply chain
46;agriculture
47;eco-innovation
48;environmental impact
49;material efficiency
50;sharing economy
51;zero waste
52;circular economy (ce)
53;digestate
54;green economy
55;optimization
56;sustainable consumption
57;sustainable manufacturing
58;value creation
59;business model innovation
60;case study
61;circular business models
62;eco-design
63;eco-industrial parks
64;end-of-life
65;environmental management
66;extended producer responsibility
67;material flow analysis (mfa)
68;phosphorus
69;system dynamics
70;wastewater
71;carbon footprint
72;cradle to cradle
73;ecodesign
74;economic growth
75;evaluation
76;management
77;policy
78;supply chain management
79;waste prevention
80;waste valorization
81;barriers
82;education
83;index system
84;literature review
85;product-service systems
86;strategy
87;urban metabolism
88;urban mining
89;coal industry
90;dematerialization
91;design
92;emergy analysis
93;environmental protection
94;indicator
95;landfill mining
96;manufacturing
97;methane
98;recycle
99;additive manufacturing
100;biofuels
101;circular business model
102;closed-loop supply chain
103;consumer behavior
104;energy recovery
105;environmental sustainability
106;green supply chain
107;logistics
108;low-carbon economy
109;material flow
110;resource management
111;sewage sludge
112;simulation
113;solid waste
114;sustainable production
115;transition
116;waste electrical and electronic equipment
117;reuse of materials
118;biochar
119;biomethane
120;circular design
121;circularity
122;complexity
123;construction and demolition waste
124;cradle-to-cradle
125;decoupling
126;developing countries
127;durability
128;economics
129;energy consumption
130;environmental impacts
131;evaluation index system
132;fly ash
133;industrial cluster
134;industrial park
135;life cycle
136;life cycle analysis
137;life cycle thinking
138;model
139;plastic
140;recycling &amp
141;substance flow analysis
142;sustainable business models
143;systems thinking
144;wastewater treatment
145;adsorption
146;aluminum
147;analytic hierarchy process
148;batteries
149;big data
150;breeding environments
151;cement
152;characterization
153;circular supply chain
154;closed loop
155;closed-loop
156;collaborative consumption
157;collaborative economy
158;corporate social responsibility
159;development pattern
160;ecological civilization
161;energy efficiency
162;energy saving
163;european union
164;governance
165;green virtual enterprises
166;hydrogen
167;indicators
168;industrial ecosystem
169;internet of things
170;land use
171;legislation
172;manure
173;metals
174;microalgae
175;mining
176;nutrient recovery
177;product development
178;recycling economy
179;repair
180;resources
181;reverse supply chain
182;secondary raw materials
183;sludge
184;smes
185;steel industry
186;survey
187;sustainable development goals
188;agricultural circular economy
189;agricultural residues
190;biomimicry
191;chemical industry
192;collaborative networked organisations
193;compost
194;concrete
195;construction
196;consumer behaviour
197;copper
198;countermeasures
199;critical metals
200;development
201;development model
202;economic development
203;economy
204;ecosystem services
205;entropy
206;environmental policy
207;europe
208;green chemistry
209;heavy metals
210;industrial chain
211;industrial structure
212;industrial waste
213;industry 4.0
214;landfill
215;leaching
216;low carbon economy
217;maintenance
218;mechanical properties
219;phosphorus recovery
220;plastics
221;principal component analysis
222;product life cycle
223;product-service system
224;pss
225;rare earth elements
226;raw materials
227;re-use
228;refurbishment
229;renewable resources
230;resource-based city
231;sustainability assessment
232;technological innovation
233;value chain
234;waste to energy
235;waste valorisation
236;waste-to-energy
237;water
238;water resources
239;benchmarking
240;biobased products
241;biofuel
242;biowaste
243;buildings
244;by-products
245;circular agriculture
246;cluster analysis
247;coal enterprise
248;coal-fired power plant
249;competitive advantage
250;composites
251;costs
252;critical materials
253;cyclic economy
254;data envelopment analysis (dea)
255;dea
256;decision making
257;deconstruction
258;electronic waste
